Time, Ax, Ay, Az, Gx, Gy, Gz
2181, -0.34192, -0.19739, 1.55249, 2.07520, 41.32080, -18.98193
2189, -0.36292, -0.20972, 1.59167, -4.76074, 69.09180, -21.91162
2197, -0.36292, -0.20972, 1.62292, -10.25391, 98.81592, -23.13232
2206, -0.35803, -0.16650, 1.62720, -14.77051, 127.80762, -23.92578
2215, -0.32361, -0.15833, 1.61890, -17.02881, 157.71484, -25.57373
2224, -0.32446, -0.15625, 1.56799, -18.18848, 186.09619, -28.07617
2233, -0.31262, -0.15308, 1.52979, -20.56885, 210.87646, -28.01514
2242, -0.23120, -0.15613, 1.52820, -23.55957, 233.76465, -26.24512
2250, -0.17029, -0.13525, 1.50378, -24.90234, 255.18799, -27.28271
2259, -0.15723, -0.07739, 1.47925, -25.87891, 276.12305, -29.60205
2268, -0.06775, -0.04236, 1.45166, -25.26855, 291.38184, -30.82275
2277, 0.00012, -0.00244, 1.42554, -23.92578, 302.49023, -34.91211
2286, 0.05945, -0.00952, 1.40149, -21.11816, 313.90381, -41.32080
2295, 0.06372, -0.03235, 1.35217, -15.38086, 322.87598, -46.08154
2304, 0.08582, -0.04395, 1.29407, -6.95801, 325.43945, -46.63086
2312, 0.12781, -0.06677, 1.21362, 1.89209, 323.73047, -43.39600
2321, 0.17822, -0.07996, 1.12024, 12.69531, 320.49561, -36.43799
2329, 0.21399, -0.05054, 1.03333, 23.31543, 314.51416, -28.38135
2338, 0.27417, -0.04883, 0.92187, 32.71484, 308.10547, -20.62988
2346, 0.32361, -0.05884, 0.78223, 40.40527, 299.68262, -13.48877
2355, 0.37903, -0.05981, 0.65601, 45.65430, 287.53662, -7.32422
2364, 0.42419, -0.07556, 0.51135, 49.80469, 272.33887, -2.25830
2373, 0.48132, -0.09265, 0.35632, 50.90332, 253.11279, 3.29590
2382, 0.52563, -0.09949, 0.23547, 47.72949, 231.75049, 9.39941
2390, 0.56006, -0.08130, 0.18201, 40.46631, 210.87646, 14.58740
2398, 0.59973, -0.07837, 0.12939, 33.69141, 193.48145, 18.31055
2407, 0.61572, -0.08325, 0.04724, 27.34375, 177.30713, 19.83643
2415, 0.62671, -0.07104, -0.01123, 20.75195, 162.35352, 21.66748
