Time,Ax,Ay,Az,Gx,Gy,Gz
2390,0.59998,-0.05042,-0.10632,-7.87354,-48.64502,14.95361
2399,0.48364,-0.17212,-0.10168,-21.97266,-45.10498,5.12695
2408,0.38232,-0.24585,-0.0918,-34.79004,-22.15576,-16.17432
2417,0.2666,-0.23865,-0.07568,-52.24609,-26.18408,-20.75195
2425,0.14575,-0.11987,0.00415,-52.24609,-26.18408,-20.75195
2433,0.09412,-0.03687,0.08447,-49.1333,-28.74756,-12.75635
2442,0.13025,-0.12036,0.05176,-36.43799,-36.74316,-1.58691
2451,0.14478,-0.19495,0.00464,-26.30615,-41.56494,-0.48828
2460,0.12305,-0.21521,0.02148,-22.09473,-41.93115,-9.94873
2469,0.11829,-0.26489,0.03125,-3.11279,-37.96387,-14.95361
2478,0.10706,-0.2572,0.05762,-8.05664,-33.56934,-18.9209
2487,0.14185,-0.29077,0.02234,-3.2959,-27.03857,-24.35303
2496,0.20984,-0.30322,0.0105,-1.77002,-18.67676,-32.04346
2504,0.20984,-0.30322,0.0105,-1.64795,-10.68115,-40.34424
2513,0.2406,-0.30139,0.1145,1.34277,-6.40869,-46.875
2521,0.28345,-0.31287,0.09741,1.34277,-7.14111,-51.14746
2530,0.33423,-0.33813,0.11975,17.02881,-10.98633,-53.22266
2538,0.40405,-0.36108,0.14014,17.02881,-10.98633,-53.22266
2546,0.50964,-0.38696,0.1731,24.16992,-14.64844,-54.93164
2554,0.64111,-0.38464,0.25024,28.68652,-17.08984,-58.59375
2562,0.80542,-0.38855,0.34143,32.95898,-19.89746,-62.68311
2570,0.98486,-0.4447,0.41223,37.35352,-22.46094,-67.87109
2578,1.1731,-0.52368,0.495,38.75732,-22.82715,-73.18115
2586,1.40503,-0.58948,0.64453,35.15625,-19.104,-74.27979
2595,1.70813,-0.57922,0.89282,29.72412,-10.13184,-68.72559
2603,2.00122,-0.44238,1.1554,28.38135,-0.61035,-56.51855
2611,2.24902,-0.22705,1.36353,35.03418,7.38525,-40.52734
2619,2.44934,0.03833,1.51428,44.86084,15.68604,-25.81787
2627,2.61475,0.34241,1.62341,52.00195,27.89307,-16.17432
2635,2.70264,0.64514,1.6925,53.03955,43.70117,-15.68604
2643,2.70264,0.64514,1.6925,50.84229,61.03516,-25.5127
2651,2.64722,0.84375,1.65417,50.84229,61.03516,-41.1377
2659,2.47156,0.90564,1.51208,46.14258,78.30811,-41.50391
2667,2.2124,0.82959,1.2981,39.85596,95.21484,-57.55615
2675,1.92969,0.66772,1.02942,32.34863,108.45947,-68.96973
2683,1.62683,0.4917,0.74963,24.35303,115.84473,-73.85254
2691,1.35156,0.31848,0.49707,15.50293,115.66162,-71.22803
2699,1.11743,0.18005,0.31311,6.10352,106.81152,-62.19482
2707,0.90808,0.11389,0.21375,-1.28174,88.68408,-49.56055
2715,0.7373,0.12732,0.19421,-4.88281,63.7207,-36.62109
2723,0.62903,0.17114,0.21777,-3.479,36.13281,-26.61133
2731,0.50403,0.19287,0.21631,1.95312,11.2915,-22.88818
2739,0.50403,0.19287,0.20447,8.17871,-7.44629,-22.70508
2747,0.37915,0.17517,0.20447,8.17871,-19.53125,-21.05713
2755,0.24512,0.12695,0.17859,11.23047,-19.53125,-21.05713
2764,0.12598,0.0957,0.17249,10.0708,-22.09473,-15.56396
2773,0.04358,0.09595,0.19006,5.92041,-1.58691,5.5542
2782,0.00085,0.13855,0.21533,2.38037,13.00049,17.33398
2791,-0.0155,0.1814,0.17468,4.15039,26.30615,26.48926
2800,-0.00928,0.24731,0.13708,5.06592,37.35352,31.18896
2808,-0.00134,0.24731,0.13708,6.46973,46.02051,32.04346
2816,0.01721,0.27661,0.09692,6.46973,46.02051,32.04346
2824,0.03577,0.31079,0.052,7.20215,52.55127,29.47998
2832,0.04675,0.32922,0.03064,5.98145,58.47168,24.59717
2841,0.09607,0.34241,0.02673,4.76074,62.13379,20.69092
