 Ax, Ay, Az, Gx, Gy, Gz
0.48718,1.95105,3.39502,-27.83203,177.18506,147.64404
0.49573,1.14417,3.78308,-4.21143,106.32324,195.73975
0.41284,0.35413,3.25403,-15.25879,49.62158,220.70312
0.39893,-0.64563,3.20154,-14.28223,-8.72803,236.6333
0.47021,-1.63013,3.22339,-41.44287,-52.12402,215.75928
0.4115,-2.19702,2.93518,-9.09424,-106.0791,164.73389
0.48303,-2.46558,2.58667,42.60254,-149.41406,101.80664
0.50757,-2.47803,1.8866,85.57129,-191.22314,33.5083
0.51465,-2.19824,1.02417,113.83057,-211.12061,-27.03857
0.49207,-1.93066,0.33142,119.01855,-202.33154,-78.30811
0.45178,-1.61414,-0.14832,94.17725,-177.6123,-126.70898
0.39294,-1.05566,-0.59985,60.66895,-118.4082,-170.04395
0.33411,-0.45654,-0.64221,55.41992,-79.52881,-176.3916
0.25537,-0.09961,-0.7655,45.6543,-46.50879,-171.50879
0.21033,0.17322,-0.77319,50.78125,-4.57764,-159.79004
0.1803,0.5011,-0.67822,51.75781,36.19385,-141.23535
0.14075,0.74316,-0.63171,53.16162,72.5708,-115.23438
0.14001,0.90051,-0.52466,26.7334,107.72705,-88.80615
0.12622,0.93188,-0.43274,16.60156,144.34814,-69.45801
0.15466,1.0072,0.07483,20.44678,172.48535,-62.07275
0.17529,1.36487,0.52795,24.4751,177.6123,-45.16602
0.19592,1.76843,1.00574,39.00146,186.82861,-29.60205
0.23853,2.01208,1.51965,44.6167,185.54687,14.89258
0.32336,1.95898,2.01587,22.03369,171.99707,71.3501
0.33472,1.71814,2.53503,6.71387,146.11816,122.25342
0.27271,1.44519,2.82361,2.31934,107.78809,170.04395
0.27979,0.56116,2.65662,-1.58691,56.7627,215.63721
0.37451,-0.35962,2.98169,-10.31494,25.26855,239.9292
0.41443,-1.26843,3.07434,-30.63965,-19.71436,233.39844
0.474,-1.99866,2.98877,-17.15088,-74.89014,194.2749
0.46887,-2.20007,2.80042,1.15967,-129.57764,134.21631
0.45288,-2.12061,2.14124,34.17969,-182.12891,79.40674
0.47705,-2.10986,1.38806,75.62256,-203.49121,33.5083
0.45764,-1.85791,0.73303,90.08789,-205.56641,-12.75635
0.33337,-1.59229,0.10864,94.23828,-192.0166,-52.85645
0.25732,-1.31079,-0.20349,82.76367,-160.5835,-90.33203
0.19678,-1.03284,-0.45984,63.5376,-125,-115.41748
0.10669,-0.76831,-0.58423,38.45215,-74.76807,-134.09424
0.03247,-0.26807,-0.78748,31.79932,-44.18945,-135.55908
0.02246,-0.09082,-0.86914,26.06201,-8.17871,-127.44141
0.00415,0.47974,-0.93994,13.00049,39.85596,-107.97119
0.07043,0.50159,-0.77124,-14.46533,83.55713,-80.99365
0.11023,0.45886,-0.58313,-32.77588,114.01367,-73.85254
0.11841,0.78552,-0.28271,-22.09473,140.80811,-81.78711
0.1283,1.26721,0.08032,-1.40381,163.20801,-76.9043
0.11548,1.66394,0.47095,-0.73242,180.78613,-50.59814
0.2135,1.94434,0.87842,-18.06641,195.06836,-9.94873
0.32959,2.08142,1.51697,-23.80371,203.24707,35.46143
0.39929,2.12402,2.21631,-23.55957,195.55664,84.22852
